transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,transaction_amount,payment_method,card_number,cvv
T0000026,C06169,P0582,2025-10-15,2,3095.97,6191.94,UPI,4355353312431972,679
T0000027,C04318,P0769,2025-08-16,3,2494.87,7484.61,UPI,4273636913179,910
T0000028,C00039,P0896,2025-07-24,4,3984.93,15939.72,Cash,4605240276483933,142
T0000029,C01772,P0011,2025-03-07,3,1425.46,4276.38,Debit Card,4781256897861766,472
T0000030,C07443,P0227,2026-05-13,3,2980.88,8942.64,Debit Card,213174439261047,040
T0000031,C03932,P0978,2025-06-10,4,102.21,408.84,Cash,30563333668912,099
T0000032,C02038,P0638,2025-10-04,3,970.94,2912.82,Credit Card,6553868045035340,936
T0000033,C02911,P0079,2025-07-03,5,991.53,4957.65,Debit Card,2712592095312055,501
T0000034,C05177,P0847,2025-02-22,2,2092.75,4185.5,Cash,4592768178016,639
T0000035,C00663,P0177,2025-12-17,3,4791.93,14375.79,Credit Card,4100713358326899,287
T0000036,C08086,P0885,2025-11-24,5,2553.38,12766.9,Credit Card,2360166320263618,752
T0000037,C03545,P0437,2026-02-13,3,612.56,1837.68,Debit Card,676195583379,212
T0000038,C00317,P0367,2024-11-03,3,1824.39,5473.17,Cash,3544793617512667,237
T0000039,C04590,P0564,2024-12-21,1,2335.32,2335.32,Credit Card,4497757755875,368
T0000040,C00009,P0351,2024-10-07,1,4828.5,4828.5,UPI,6532020903650952,075
T0000041,C05770,P0608,2025-01-16,5,1037.38,5186.9,Credit Card,346120091703727,284
T0000042,C00346,P0610,2025-01-23,5,4946.16,24730.8,Cash,38559506688580,995
T0000043,C07302,P0980,2025-07-25,3,2923.57,8770.71,UPI,6587553613998570,600
T0000044,C01867,P0542,2025-09-22,3,794.35,2383.05,UPI,2720193397695196,421
T0000045,C05042,P0317,2026-03-28,2,485.9,971.8,UPI,3566047697136571,854
T0000046,C02608,P0227,2024-08-14,4,2980.88,11923.52,Cash,3512581665237271,898
T0000047,C07623,P0484,2026-03-07,1,3784.46,3784.46,UPI,3524656652671991,252
T0000048,C06543,P0554,2024-08-23,3,3865.83,11597.49,UPI,3594495790408387,3332
T0000049,C07799,P0715,2026-07-03,4,2312.09,9248.36,UPI,4442217150713814,683
T0000050,C00011,P0046,2025-11-04,1,4771.39,4771.39,Credit Card,4016942940650704059,584
T0000051,C06348,P0112,2025-12-23,1,1547.46,1547.46,UPI,30405382467756,525
T0000052,C04069,P0090,2025-06-18,4,2143.89,8575.56,UPI,4312353751905686,665
T0000053,C06992,P0469,2025-09-10,1,585.68,585.68,Debit Card,4263866174493922,715
T0000054,C05325,P0400,2024-11-26,5,3397.8,16989.0,UPI,30124340941014,6039
T0000055,C06045,P0361,2025-08-28,5,2728.03,13640.15,Credit Card,345199488633425,606
T0000056,C05973,P0099,2026-01-29,1,643.44,643.44,Cash,4408701933071046267,692
T0000057,C08122,P0576,2025-06-24,3,1901.11,5703.33,UPI,6011075592899344,909
T0000058,C01562,P0775,2025-08-01,4,3074.22,12296.88,Credit Card,30092817651368,708
T0000059,C01804,P0454,2025-10-27,3,4446.05,13338.15,Debit Card,3553972592786151,884
T0000060,C03362,P0099,2024-12-08,3,643.44,1930.32,Debit Card,4444347712156,044
T0000061,C02337,P0583,2026-02-05,3,1316.82,3950.46,Credit Card,180082530017532,249
T0000062,C05413,P0651,2026-07-25,2,3962.35,7924.7,Debit Card,4013231869970089171,423
T0000063,C04762,P0673,2024-11-04,5,4623.45,23117.25,Cash,3562698515121783,011
T0000064,C03324,P0674,2025-05-22,5,4325.72,21628.6,Cash,4573051269696,423
T0000065,C04583,P0290,2024-09-06,1,2989.37,2989.37,Cash,6578673449562381,599
T0000066,C06942,P0789,2025-02-15,4,2417.0,9668.0,Credit Card,676241091476,531
T0000067,C05738,P0263,2026-06-14,4,3636.7,14546.8,Credit Card,30026989820641,383
T0000068,C04145,P0477,2026-02-13,4,759.09,3036.36,Cash,3567246370250514,850
T0000069,C04144,P0913,2025-08-16,4,1531.42,6125.68,Debit Card,3575206741807517,431
T0000070,C01559,P0787,2025-12-18,4,631.21,2524.84,Cash,3597142209978413,600
T0000071,C01534,P0293,2025-01-28,5,1205.45,6027.25,Cash,4439565028764,344
T0000072,C03472,P0496,2025-01-23,2,1932.03,3864.06,Cash,376383528805787,7894
T0000073,C01054,P0140,2025-05-22,5,167.14,835.7,UPI,6587017579303019,0917
T0000074,C08238,P0516,2025-10-10,4,4758.9,19035.6,UPI,4470555070471046,572
T0000075,C00219,P0975,2026-07-23,5,3252.65,16263.25,Cash,36615409162321,9885
T0000076,C07995,P0039,2024-12-18,4,3418.38,13673.52,Debit Card,6011606995223250,510
T0000077,C06762,P0357,2025-08-03,3,3135.13,9405.39,UPI,30340457470627,268
T0000078,C03814,P0082,2025-12-27,4,4049.71,16198.84,Debit Card,676295259334,152
T0000079,C08791,P0136,2024-08-19,3,838.03,2514.09,Debit Card,4276792912798049,200
T0000080,C03506,P0015,2025-12-09,5,2324.15,11620.75,Debit Card,3571658159378635,078
T0000081,C02068,P0574,2025-10-19,2,2283.08,4566.16,Debit Card,4237329466088093,4920
T0000082,C00959,P0793,2025-07-14,1,1274.95,1274.95,Cash,6556815258416334,862
T0000083,C08956,P0811,2025-09-01,3,207.09,621.27,Credit Card,3556769251340065,794
T0000084,C06644,P0930,2026-03-20,2,1978.63,3957.26,Cash,4601827742950869,185
T0000085,C09319,P0528,2026-04-28,2,2922.63,5845.26,Debit Card,3508831879611779,397
T0000086,C07615,P0557,2025-09-21,3,945.19,2835.57,Cash,3558569826855185,882
T0000087,C04743,P0213,2025-01-04,5,4182.81,20914.05,Cash,3549020256381013,035
T0000088,C05158,P0002,2025-07-12,1,740.71,740.71,Debit Card,4782583085452856193,288
T0000089,C04622,P0278,2024-09-25,4,471.65,1886.6,Credit Card,4552692743246090,633
T0000090,C01723,P0767,2024-10-09,2,581.14,1162.28,Cash,373185169201165,0537
T0000091,C09674,P0449,2024-10-08,5,4973.41,24867.05,UPI,4084011811037231,977
T0000092,C02467,P0140,2025-10-16,5,167.14,835.7,Cash,30574516168232,040
T0000093,C03513,P0153,2025-01-09,3,2184.92,6554.76,UPI,6503847060128959,494
T0000094,C05666,P0175,2025-06-15,3,3453.73,10361.19,Cash,630436189520,118
T0000095,C08247,P0828,2025-08-15,2,3531.27,7062.54,Cash,4814098220181160,277
T0000096,C06335,P0769,2024-12-12,3,2494.87,7484.61,Credit Card,2712598527953655,892
T0000097,C04297,P0542,2025-01-28,4,794.35,3177.4,Debit Card,6541082241765941,077
T0000098,C02614,P0396,2024-10-26,1,864.49,864.49,Debit Card,4700002363726838,690
T0000099,C06861,P0965,2026-03-25,4,2521.55,10086.2,Debit Card,2271724147659935,156
T0000100,C09789,P0682,2025-11-11,5,2226.05,11130.25,Credit Card,213131111334054,863
T0000101,C00034,P0131,2025-05-13,1,2061.57,2061.57,Credit Card,4298909073559570861,137
T0000102,C05262,P0882,2025-03-08,2,3357.67,6715.34,UPI,4711271756306494722,627
T0000103,C02956,P0978,2025-12-29,4,102.21,408.84,UPI,4278017320434411857,328
T0000104,C03381,P0561,2026-02-26,3,2693.36,8080.08,Debit Card,346579101991442,424
T0000105,C07340,P0251,2025-11-17,5,2798.12,13990.6,Debit Card,3597522360854158,484
T0000106,C01963,P0003,2024-12-02,4,3716.31,14865.24,Cash,4290298166357237,6080
T0000107,C02131,P0965,2025-04-04,5,2521.55,12607.75,Debit Card,4417149000953004,549
T0000108,C01105,P0188,2024-12-11,2,433.54,867.08,Debit Card,566967166364,827
T0000109,C07882,P0558,2025-05-10,1,4518.15,4518.15,Cash,4474196878693568,209
T0000110,C03301,P0569,2025-06-16,3,4674.75,14024.25,Cash,5376264614045943,260
T0000111,C07128,P0915,2025-02-03,4,4487.8,17951.2,Cash,4131518286434001,502
T0000112,C08091,P0591,2026-08-06,1,2174.73,2174.73,Debit Card,4879348867193800,6824
T0000113,C06080,P0350,2025-04-13,1,4825.88,4825.88,Credit Card,6561427505131709,311
T0000114,C03854,P0359,2025-04-24,1,3388.07,3388.07,UPI,583319549320,1439
T0000115,C05720,P0629,2026-05-05,3,756.76,2270.28,Credit Card,3503545186997888,917
T0000116,C05968,P0830,2025-01-06,1,1209.98,1209.98,Cash,3534953784626839,379
T0000117,C08258,P0011,2025-01-19,3,1425.46,4276.38,UPI,3553424677405042,505
T0000118,C09737,P0946,2026-06-26,4,1295.91,5183.64,Debit Card,4055409288750,273
T0000119,C05601,P0002,2026-06-14,2,740.71,1481.42,UPI,30501752281874,402
T0000120,C03193,P0216,2025-01-27,3,4788.56,14365.68,Debit Card,3564724211892580,041
T0000121,C04745,P0111,2026-04-22,2,830.85,1661.7,Debit Card,6011180336789486,321
T0000122,C09346,P0908,2025-09-29,1,1391.92,1391.92,Cash,213183733634502,041
T0000123,C07795,P0118,2025-03-19,4,3453.11,13812.44,Debit Card,2287190911592896,423
T0000124,C02421,P0874,2024-11-08,4,2775.68,11102.72,Cash,4202773831688,760
T0000125,C03970,P0248,2025-03-02,4,4406.53,17626.12,Cash,4127897448957223518,643
T0000126,C01326,P0877,2025-02-09,5,882.76,4413.8,Debit Card,2376458315809972,013
T0000127,C01675,P0118,2025-09-23,4,3453.11,13812.44,Credit Card,340926429406528,708
T0000128,C03450,P0493,2026-01-13,4,3848.38,15393.52,Cash,3514862444892851,716
T0000129,C05900,P0910,2025-06-16,1,3307.64,3307.64,Debit Card,371586197759284,2516
T0000130,C02570,P0267,2025-03-16,1,2693.97,2693.97,Cash,340450531364699,411
T0000131,C08558,P0400,2024-12-25,3,3397.8,10193.4,Debit Card,373102152781053,345
T0000132,C01687,P0622,2026-02-21,2,2257.28,4514.56,UPI,2299598687127513,351
T0000133,C03267,P0149,2025-05-24,3,1956.72,5870.16,Cash,4631569643313,042
T0000134,C02406,P0576,2025-01-19,1,1901.11,1901.11,UPI,630463215693,234
T0000135,C07486,P0435,2025-08-29,5,1652.67,8263.35,Cash,6011784122302162,7707
T0000136,C06950,P0123,2026-03-05,4,2237.09,8948.36,UPI,4952273136959247,000
T0000137,C09006,P0449,2026-02-25,2,4973.41,9946.82,Debit Card,4331474377137,416
T0000138,C05061,P0870,2026-01-22,4,1340.83,5363.32,UPI,3570873227331596,505
T0000139,C09392,P0898,2024-10-13,2,1253.88,2507.76,Debit Card,345914276602659,1765
T0000140,C01455,P0967,2026-02-22,4,2144.48,8577.92,Credit Card,6581863971018465,3891
T0000141,C01786,P0917,2025-12-26,3,4942.97,14828.91,Credit Card,586091831998,988
T0000142,C06882,P0265,2026-03-24,1,1010.88,1010.88,Cash,180059004405369,303
T0000143,C03628,P0366,2024-12-23,4,277.66,1110.64,Debit Card,3559829689789148,114
T0000144,C03142,P0978,2025-01-16,2,102.21,204.42,Cash,4547517774714047,026
T0000145,C09055,P0940,2026-07-12,4,4510.62,18042.48,Credit Card,4566480959280530,269
T0000146,C09489,P0291,2025-01-27,1,1195.81,1195.81,Cash,4650371960059924864,640
T0000147,C06115,P0904,2025-07-31,4,2197.85,8791.4,Debit Card,4072586569892667,715
T0000148,C09192,P0549,2025-10-16,4,1841.05,7364.2,Credit Card,4870668562758340388,662
T0000149,C05403,P0933,2025-04-30,3,705.91,2117.73,Credit Card,6502983582138910,039
T0000150,C03786,P0251,2025-04-27,3,2798.12,8394.36,UPI,6011754802343240,809
T0000151,C03297,P0457,2024-10-19,5,1596.99,7984.95,Cash,4902864056965221,465
T0000152,C01526,P0464,2025-10-21,1,4374.36,4374.36,Debit Card,676163978460,740
T0000153,C09588,P0731,2025-03-25,3,799.58,2398.74,Debit Card,376535573783124,8902
T0000154,C05676,P0030,2026-01-31,5,4388.02,21940.1,Debit Card,341606642712444,259
T0000155,C00511,P0117,2025-05-15,2,3043.91,6087.82,UPI,375678477338602,331
T0000156,C00213,P0249,2026-03-07,3,2607.3,7821.9,Credit Card,4386696304445316,233
T0000157,C04036,P0280,2026-02-20,1,3000.83,3000.83,UPI,4988618964139361,592
T0000158,C09886,P0912,2024-10-22,3,763.75,2291.25,Debit Card,4006248471443698,832
T0000159,C08291,P0497,2024-10-31,4,2815.68,11262.72,Credit Card,4875681475029469,727
T0000160,C00056,P0450,2026-04-23,5,2295.89,11479.45,Credit Card,213157448479379,481
T0000161,C03073,P0270,2025-03-27,4,4348.88,17395.52,Debit Card,3555084610425404,128
T0000162,C01416,P0752,2024-09-15,2,3717.41,7434.82,Credit Card,3534130097088524,441
T0000163,C01675,P0047,2025-10-22,4,3821.71,15286.84,Debit Card,4530533893658862889,056
T0000164,C08707,P0232,2026-02-06,3,2554.51,7663.53,Debit Card,4270050572622,496
T0000165,C09055,P0167,2025-02-08,4,3183.06,12732.24,Debit Card,4808101694489,252
T0000166,C07770,P0165,2024-11-21,5,2392.27,11961.35,Credit Card,4586401408766485159,339
T0000167,C07013,P0099,2024-08-11,4,643.44,2573.76,Credit Card,2719106265066848,977
T0000168,C07154,P0086,2025-10-05,4,2453.92,9815.68,Debit Card,580254517221,088
T0000169,C02978,P0134,2025-07-26,1,172.69,172.69,Cash,3571145123551869,910
T0000170,C01110,P0256,2024-12-01,4,2789.69,11158.76,Cash,4789616105741868670,968
T0000171,C02656,P0822,2025-03-30,3,2330.1,6990.3,Credit Card,3504552565835571,809
T0000172,C05909,P0548,2024-10-06,5,3247.82,16239.1,UPI,213120241880516,148
T0000173,C03484,P0532,2024-09-10,2,562.33,1124.66,Cash,4571656639799394877,7472
T0000174,C02785,P0995,2025-09-07,3,2821.25,8463.75,Credit Card,4215536759981513,395
T0000175,C01976,P0975,2024-10-04,2,3252.65,6505.3,Debit Card,6534655532944496,539
T0000176,C04217,P0888,2024-10-06,3,2684.45,8053.35,Cash,4452868052599793057,751
T0000177,C06513,P0616,2025-02-25,2,4869.93,9739.86,Credit Card,4141016046995,677
T0000178,C01413,P0460,2026-07-23,3,2187.79,6563.37,Debit Card,3570137153787043,455
T0000179,C08189,P0427,2026-01-21,4,4944.66,19778.64,Debit Card,676348265502,014
T0000180,C03049,P0245,2025-03-31,4,4262.22,17048.88,Debit Card,2355629302980167,908
T0000181,C04528,P0639,2024-08-16,3,4572.04,13716.12,Cash,342560628918716,099
T0000182,C07350,P0472,2025-12-30,3,2826.78,8480.34,Cash,2498287502812173,865
T0000183,C08264,P0372,2026-04-09,3,4568.5,13705.5,Cash,30343059767861,7396
T0000184,C06344,P0045,2025-10-07,2,2202.09,4404.18,Credit Card,30464759762760,073
T0000185,C04188,P0407,2024-09-10,4,3116.76,12467.04,Debit Card,4935378042231,335
T0000186,C00060,P0890,2025-09-17,2,4888.52,9777.04,Debit Card,4167708572681111,337
T0000187,C09978,P0928,2025-05-15,1,1376.46,1376.46,Credit Card,6598387224413167,516
T0000188,C05726,P0201,2024-10-04,4,1136.14,4544.56,Credit Card,30426176945542,091
T0000189,C00688,P0587,2025-10-03,3,2128.14,6384.42,Cash,4201097530031785926,553
T0000190,C01261,P0348,2026-01-18,2,4571.48,9142.96,UPI,4967481343774233,916
T0000191,C01891,P0027,2024-11-15,4,3438.84,13755.36,Debit Card,4168519091871003,229
T0000192,C00390,P0993,2026-01-02,1,4010.25,4010.25,Credit Card,4295214473030172,003
T0000193,C00263,P0831,2025-01-25,4,4325.46,17301.84,Debit Card,180076755976430,437
T0000194,C02395,P0484,2024-11-07,2,3784.46,7568.92,UPI,30428326231971,543
T0000195,C07235,P0237,2026-05-19,5,2632.65,13163.25,Cash,180087161013684,330
T0000196,C09748,P0382,2026-07-14,3,2895.32,8685.96,UPI,6011959750907140,364
T0000197,C06754,P0013,2025-12-01,4,528.75,2115.0,UPI,4311889409158328,175
T0000198,C09751,P0556,2025-12-24,2,3006.37,6012.74,UPI,2512556608281067,950
T0000199,C05443,P0495,2024-09-24,4,3747.72,14990.88,Cash,4586479780810552,960
T0000200,C03888,P0375,2025-04-08,3,2353.0,7059.0,Cash,3553311810551644,744
T0000201,C09695,P0105,2026-04-12,2,3245.23,6490.46,UPI,371511827260248,363
T0000202,C07125,P0450,2025-07-13,2,2295.89,4591.78,Credit Card,502021614693,045
T0000203,C09221,P0840,2024-12-05,1,282.08,282.08,UPI,2720985634310301,445
T0000204,C01903,P0098,2024-10-30,5,386.41,1932.05,Debit Card,3532212954181154,552
T0000205,C07712,P0202,2025-03-01,5,193.67,968.35,Cash,213109972050001,469
T0000206,C01498,P0612,2026-02-02,3,1817.02,5451.06,UPI,4948538820040,494
T0000207,C01691,P0948,2024-08-11,2,1017.96,2035.92,UPI,2294304354573021,833
T0000208,C07095,P0841,2026-02-11,4,3373.15,13492.6,Credit Card,2228698335421478,888
T0000209,C07244,P0879,2026-01-18,3,961.04,2883.12,Cash,4445272241782713,167
T0000210,C07407,P0903,2024-08-16,5,898.35,4491.75,Credit Card,6011855690221966,223
T0000211,C05340,P0243,2025-11-27,4,2350.31,9401.24,Cash,2287381329981546,682
T0000212,C08245,P0942,2024-11-06,2,737.26,1474.52,UPI,3535323623813874,674
T0000213,C00176,P0914,2024-11-29,3,2855.14,8565.42,UPI,3506733818003096,812
T0000214,C05371,P0097,2025-01-30,2,4264.15,8528.3,Credit Card,3578400360083313,142
T0000215,C06520,P0884,2025-04-28,4,3550.49,14201.96,UPI,347028500512069,009
T0000216,C07797,P0131,2025-10-10,2,2061.57,4123.14,Debit Card,4065398462156946,5850
T0000217,C00244,P0914,2024-09-21,4,2855.14,11420.56,Credit Card,4258755299924035,595
T0000218,C06574,P0130,2025-10-28,3,558.83,1676.49,UPI,6569769289609455,135
T0000219,C06012,P0385,2025-05-30,4,3738.6,14954.4,Debit Card,4653925249804802590,424
T0000220,C01669,P0439,2025-03-25,4,2988.65,11954.6,Debit Card,6535771664458095,1929
T0000221,C02595,P0843,2024-12-31,3,1534.45,4603.35,Credit Card,4374459158475313042,078
T0000222,C04552,P0077,2025-12-02,5,2042.98,10214.9,UPI,3505318044074201,489
T0000223,C05589,P0288,2026-06-06,5,910.38,4551.9,Cash,4711486692431805,3865
T0000224,C04572,P0625,2026-07-31,1,4990.85,4990.85,Credit Card,3554194856773671,223
T0000225,C08214,P0522,2026-01-14,2,3175.36,6350.72,UPI,4359437470483,342
T0000226,C03655,P0944,2024-10-07,2,2201.65,4403.3,Debit Card,4022928602716995982,485
T0000227,C02980,P0727,2025-09-05,2,3619.86,7239.72,Debit Card,2720412082480882,220
T0000228,C04514,P0921,2026-07-19,3,3088.63,9265.89,Debit Card,6011495756685034,471
T0000229,C01670,P0739,2025-11-04,2,2446.69,4893.38,Cash,4978676754851746,331
T0000230,C00353,P0110,2026-03-12,3,4402.39,13207.17,Cash,4756041154290086,704
T0000231,C08672,P0106,2026-05-02,2,4648.64,9297.28,Credit Card,4083966681593525,575
T0000232,C09092,P0551,2025-05-03,4,4740.96,18963.84,Debit Card,4093110872497513,861
T0000233,C04580,P0638,2025-01-27,4,970.94,3883.76,Debit Card,3592683449087866,121
T0000234,C06785,P0057,2026-04-11,1,392.6,392.6,UPI,343998620683582,449
T0000235,C04454,P0146,2026-07-11,5,586.59,2932.95,Credit Card,30556785491544,5877
T0000236,C00583,P0391,2025-08-28,3,1856.06,5568.18,Cash,3558440177282595,976
T0000237,C00073,P0038,2024-11-22,3,592.76,1778.28,UPI,373562746631132,487
T0000238,C08409,P0454,2025-12-22,3,4446.05,13338.15,UPI,4678829612220660,156
T0000239,C04665,P0705,2024-10-11,4,2830.99,11323.96,Credit Card,4217357881969294,006
T0000240,C03676,P0742,2024-11-25,3,3539.69,10619.07,Debit Card,4604439947004588,7690
T0000241,C08009,P0277,2025-05-21,4,788.53,3154.12,Cash,2278268594815668,951
T0000242,C05944,P0803,2025-11-02,3,703.12,2109.36,Debit Card,4147285789710,989
T0000243,C07077,P0898,2025-10-18,3,1253.88,3761.64,UPI,2249524202122004,679
T0000244,C01384,P0891,2025-10-28,2,4075.13,8150.26,Debit Card,4873566141764,155
T0000245,C03501,P0198,2024-09-19,3,3779.7,11339.1,Cash,4521806665665339,021
T0000246,C09651,P0352,2024-12-28,1,546.8,546.8,Credit Card,180059454555572,347
T0000247,C06987,P0727,2025-08-27,3,3619.86,10859.58,Cash,372087180351808,580
T0000248,C05849,P0893,2026-06-09,4,4594.34,18377.36,Debit Card,213146433167735,598
T0000249,C06219,P0653,2025-12-04,2,4028.13,8056.26,Debit Card,30244081954248,416
T0000250,C07063,P0576,2026-02-03,4,1901.11,7604.44,Credit Card,501816917162,114
T0000251,C04283,P0466,2024-12-21,3,3022.03,9066.09,Debit Card,213102823282170,444
T0000252,C03057,P0693,2025-01-05,5,3619.59,18097.95,Cash,5252543716732725,777
T0000253,C02509,P0092,2024-11-27,3,1518.7,4556.1,Cash,375838734660939,839
T0000254,C02182,P0503,2025-11-07,1,900.77,900.77,UPI,639055285055,507
T0000255,C00468,P0238,2024-08-15,3,4050.59,12151.77,UPI,4334494442269562258,8394
T0000256,C01193,P0076,2026-06-19,1,3284.6,3284.6,UPI,3571428488397221,490
T0000257,C00368,P0745,2024-09-25,4,4484.01,17936.04,Debit Card,2256852772402153,881
T0000258,C07051,P0615,2025-04-17,5,3729.37,18646.85,UPI,213188675984831,799
T0000259,C01702,P0068,2025-06-12,3,383.63,1150.89,UPI,3526849929097284,802
T0000260,C08599,P0906,2024-11-13,5,4599.8,22999.0,Cash,3563822863906418,914
T0000261,C04785,P0236,2025-03-20,2,807.31,1614.62,Debit Card,4944638578307,958
T0000262,C00734,P0699,2026-06-13,4,1442.71,5770.84,Cash,38056543878522,261
T0000263,C04376,P0757,2026-04-21,4,4824.37,19297.48,Cash,6544548076095452,104
T0000264,C08477,P0282,2025-07-19,1,4547.1,4547.1,Cash,30294230120100,547
T0000265,C01581,P0761,2026-05-12,1,492.83,492.83,Debit Card,4418350252285348,649
T0000266,C07935,P0225,2024-11-24,1,3402.87,3402.87,Credit Card,2226352460573115,195
T0000267,C04382,P0914,2025-05-14,1,2855.14,2855.14,Cash,3581842126643242,067
T0000268,C04621,P0162,2024-10-23,4,1090.4,4361.6,Cash,4757758746367262949,925
T0000269,C02139,P0669,2024-10-19,5,2690.72,13453.6,Cash,347543569500565,762
T0000270,C00173,P0532,2024-12-03,4,562.33,2249.32,Credit Card,345393354349659,241
T0000271,C05173,P0948,2026-06-11,4,1017.96,4071.84,UPI,3592362258118340,726
T0000272,C09101,P0625,2025-10-28,2,4990.85,9981.7,Debit Card,4620709146281827,889
T0000273,C00987,P0281,2026-01-14,5,3889.68,19448.4,Cash,4376415020148,243
T0000274,C00726,P0623,2024-09-04,4,3464.34,13857.36,Debit Card,3525376797717356,737
T0000275,C01351,P0719,2026-05-29,5,2561.21,12806.05,Cash,370296421897717,5046
T0000276,C06076,P0939,2025-05-30,4,1969.61,7878.44,Credit Card,2262736097388068,738
T0000277,C07095,P0688,2025-12-18,2,2359.04,4718.08,Cash,38579140429910,164
T0000278,C00252,P0047,2026-03-12,5,3821.71,19108.55,UPI,4571079340071757,527
T0000279,C09312,P0329,2025-08-27,2,511.39,1022.78,Cash,3530304221519738,510
T0000280,C05644,P0899,2025-09-11,2,3436.01,6872.02,Debit Card,213146116548565,606
T0000281,C06297,P0488,2024-08-12,5,2586.11,12930.55,Credit Card,3565591289804154,767
T0000282,C08955,P0365,2026-07-29,1,873.51,873.51,UPI,4683675706769457,196
T0000283,C07080,P0173,2025-07-01,2,3605.81,7211.62,UPI,30599811141717,541
T0000284,C03539,P0319,2025-07-08,3,2597.25,7791.75,UPI,4859006973941124,386
T0000285,C01288,P0456,2025-11-03,4,3661.58,14646.32,Debit Card,213107314594348,742
T0000286,C09222,P0067,2025-05-12,3,3553.81,10661.43,Credit Card,4323427824295760367,515
T0000287,C08290,P0305,2026-01-09,3,1645.49,4936.47,Cash,3523882336108140,512
T0000288,C05525,P0557,2025-09-01,2,945.19,1890.38,Debit Card,4714346845733140308,395
T0000289,C01069,P0036,2025-01-31,1,1135.64,1135.64,Cash,4853055797616059963,836
T0000290,C03438,P0825,2024-11-23,3,3841.96,11525.88,Debit Card,4854177139718048,093
T0000291,C09656,P0695,2026-04-18,3,2518.86,7556.58,Credit Card,5386951551026443,597
T0000292,C03429,P0855,2026-01-15,3,4033.02,12099.06,Credit Card,180033973689758,403
T0000293,C02068,P0093,2025-07-02,2,3691.9,7383.8,Debit Card,30023301737389,4089
T0000294,C06439,P0073,2024-08-09,5,2064.95,10324.75,Cash,2276123594032719,465
T0000295,C00169,P0659,2025-02-28,1,3416.54,3416.54,Credit Card,4821058671175120,205
T0000296,C04214,P0493,2024-10-26,4,3848.38,15393.52,Debit Card,371983416348017,688
T0000297,C02013,P0729,2024-10-02,2,2884.22,5768.44,Cash,30361940561889,294
T0000298,C06562,P0879,2026-07-21,3,961.04,2883.12,Debit Card,3587270338266400,725
T0000299,C09194,P0448,2024-10-07,5,2947.56,14737.8,UPI,30126877713153,152
T0000300,C05241,P0702,2026-06-05,1,712.98,712.98,Credit Card,30252485077359,266
T0000301,C07813,P0182,2026-01-03,1,4084.28,4084.28,Credit Card,30113136183980,455
T0000302,C01265,P0008,2025-08-20,1,1141.18,1141.18,Cash,4750939054782985,002
T0000303,C04557,P0409,2025-09-18,2,362.92,725.84,UPI,2490305928506225,003
T0000304,C00013,P0485,2024-12-27,2,453.83,907.66,UPI,676113938929,133
T0000305,C02741,P0853,2026-01-13,1,1916.98,1916.98,Cash,4778491837800,310
T0000306,C07063,P0860,2025-02-19,5,4997.88,24989.4,UPI,4488675857766697,342
